"sensor","time_ms","humidity_percent","temperature_degc","dryness_raw"
"DHT22",897252,80.000000,19.900000,50.635387
"DHC1080",902528,78.479004,20.918274,53.274681
"DHT22",902528,80.300003,19.900000,53.274681
"DHC1080",907804,78.479004,20.918274,55.327469
"DHT22",907804,80.300003,19.900000,55.327469
"DHC1080",913080,78.179932,20.888062,58.748779
"DHT22",913080,80.199997,19.900000,58.748779
"DHC1080",918357,78.179932,20.888062,61.192570
"DHT22",918357,80.300003,19.900000,61.192570
"DHC1080",923633,78.179932,20.888062,63.929619
"DHT22",923633,80.300003,19.900000,63.929619
"DHC1080",928910,78.179932,20.888062,62.072338
"DHT22",928910,80.599998,19.900000,62.072338
"DHC1080",934186,78.576660,20.877991,56.402737
"DHT22",934186,80.400002,19.900000,56.402737
"DHC1080",939463,78.576660,20.877991,52.883675
"DHT22",939463,80.000000,19.799999,52.883675
"DHC1080",944739,78.576660,20.877991,50.537636
"DHT22",944739,80.199997,19.900000,50.537636
"DHC1080",950015,78.576660,20.877991,50.342133
"DHT22",950015,80.000000,19.900000,50.342133
"DHC1080",955291,78.881836,20.867920,50.244381
"DHT22",955291,79.800003,19.900000,50.244381
"DHC1080",960568,78.881836,20.867920,50.342133
"DHT22",960568,79.300003,19.799999,50.342133
"DHC1080",965844,78.881836,20.867920,51.515152
"DHT22",965844,79.699997,19.900000,51.515152
"DHC1080",971120,78.881836,20.867920,55.229717
"DHT22",971120,80.000000,19.900000,55.229717
"DHC1080",976396,78.375244,20.837708,61.974583
"DHT22",976396,80.500000,19.900000,61.974583
"DHC1080",981673,78.375244,20.837708,61.290321
"DHT22",981673,80.500000,19.799999,61.290321
"DHC1080",986949,78.375244,20.837708,49.169109
"DHT22",986949,80.400002,19.900000,49.169109
"DHC1080",992225,78.375244,20.837708,46.725319
"DHT22",992225,80.300003,19.900000,46.725319
"DHC1080",997501,78.680420,20.817566,38.611927
"DHT22",997501,80.099998,19.799999,38.611927
"DHC1080",1002778,78.680420,20.817566,34.701859
"DHT22",1002778,80.199997,19.799999,34.701859
"DHC1080",1008054,78.680420,20.817566,48.973606
